ANIO_ELECTORAL;CODIGO_MUNICIPIO;MUNICIPIO;DISTRITO;SECCION;MESA;DIRECCION_MESA;DESCRIPCION_MESA;CENSO;VOTOS_EMITIDOS;VOTOS_NULOS;VOTOS_EN_BLANCO;VOTOS_VALIDOS;PORC_PARTICIPACION;PORC_ESCRUTADO;CENSO_ESCRUTADO
1983;47;Cervera del Río Alhama;02;001;A;;;634;490;16;1;474;77.29;100.0;634
1983;47;Cervera del Río Alhama;03;001;A;;;383;289;2;1;287;75.46;100.0;383
1983;47;Cervera del Río Alhama;03;001;B;;;319;241;14;2;227;75.55;100.0;319
1983;47;Cervera del Río Alhama;03;002;A;;;594;491;2;0;489;82.66;100.0;594
1983;48;Cidamón;01;001;A;;;70;62;0;0;62;88.57;100.0;70
1983;49;Cihuri;01;001;A;;;178;129;6;1;123;72.47;100.0;178
1983;50;Cirueña;01;001;A;;;148;102;5;1;97;68.92;100.0;148
1983;51;Clavijo;01;001;A;;;161;116;0;0;116;72.05;100.0;161
1983;52;Cordovín;01;001;A;;;270;196;1;3;195;72.59;100.0;270
1983;53;Corera;01;001;A;;;254;192;2;4;190;75.59;100.0;254
1983;54;Cornago;01;001;A;;;722;590;9;6;581;81.72;100.0;722
1983;55;Corporales;01;001;A;;;89;78;1;3;77;87.64;100.0;89
1983;56;Cuzcurrita de Río Tirón;01;001;A;;;530;418;10;0;408;78.87;100.0;530
1983;57;Daroca de Rioja;01;001;A;;;47;41;0;1;41;87.23;100.0;47
1983;58;Enciso;01;001;A;;;191;128;1;0;127;67.02;100.0;191
1983;59;Entrena;01;001;A;;;918;513;7;11;506;55.88;100.0;918
1983;60;Estollo;01;001;A;;;157;108;1;4;107;68.79;100.0;157
1983;61;Ezcaray;01;001;A;;;1297;869;18;20;851;67.0;100.0;1297
1983;61;Ezcaray;02;001;A;;;77;39;8;2;31;50.65;100.0;77
1983;62;Foncea;01;001;A;;;138;104;1;0;103;75.36;100.0;138
1983;63;Fonzaleche;01;001;A;;;181;150;0;0;150;82.87;100.0;181
1983;64;Fuenmayor;01;001;A;;;795;654;6;5;648;82.26;100.0;795
1983;64;Fuenmayor;01;001;B;;;778;628;5;8;623;80.72;100.0;778
