MERINDAD;MUNICIPIO;DISTRITO;SECCION;MESA;CENSO;PARTICIPACION;ABSTENCION;VALIDOS;BLANCOS;NULOS;UPN;UPN_P;ECOLO;ECOLO_P;PP;PP_P;PSN_PSOE;PSN_PSOE_P;UPYD;UPYD_P;SAIN;SAIN_P;NA_BAI2011;NA_BAI2011_P;CDN;CDN_P;IXN;IXN_P;BILDU;BILDU_P;RCN_NOK;RCN_NOK_P;IZQ_EZK;IZQ_EZK_P;DNE;DNE_P
3;16;1;2;B;571;394;177;389;9;5;64;16,24;6;1,52;18;4,56;106;26,9;1;0,25;0;0;69;17,51;2;0,5;0;0;69;17,51;7;1,77;37;9,39;1;0,25
3;16;1;2;C;508;336;172;331;10;5;52;15,47;9;2,67;15;4,46;69;20,53;2;0,59;0;0;72;21,42;2;0,59;0;0;59;17,55;5;1,48;35;10,41;1;0,29
3;16;1;3;A;536;365;171;361;13;4;64;17,53;10;2,73;13;3,56;63;17,26;1;0,27;2;0,54;83;22,73;4;1,09;3;0,82;58;15,89;5;1,36;42;11,5;0;0
3;16;1;3;B;579;379;200;377;9;2;87;22,95;9;2,37;10;2,63;54;14,24;2;0,52;0;0;102;26,91;7;1,84;0;0;60;15,83;6;1,58;30;7,91;1;0,26
3;16;1;4;A;612;381;231;376;4;5;56;14,69;3;0,78;15;3,93;108;28,34;2;0,52;1;0,26;81;21,25;2;0,52;0;0;58;15,22;4;1,04;42;11,02;0;0
3;16;1;4;B;575;363;212;357;5;6;51;14,04;6;1,65;16;4,4;101;27,82;1;0,27;1;0,27;73;20,11;4;1,1;0;0;59;16,25;6;1,65;34;9,36;0;0
3;16;1;5;U;893;562;331;557;12;5;75;13,34;16;2,84;15;2,66;110;19,57;4;0,71;0;0;121;21,53;7;1,24;5;0,88;122;21,7;12;2,13;58;10,32;0;0
3;16;1;6;A;685;472;213;465;9;7;98;20,76;10;2,11;18;3,81;73;15,46;3;0,63;1;0,21;128;27,11;5;1,05;0;0;67;14,19;5;1,05;48;10,16;0;0
3;16;1;6;B;708;465;243;461;7;4;88;18,92;6;1,29;21;4,51;73;15,69;3;0,64;1;0,21;131;28,17;7;1,5;0;0;72;15,48;7;1,5;45;9,67;0;0
3;17;1;1;U;354;195;159;193;6;2;51;26,15;1;0,51;7;3,58;5;2,56;6;3,07;1;0,51;52;26,66;0;0;0;0;61;31,28;3;1,53;0;0;0;0
3;18;1;1;U;421;314;107;307;10;7;112;35,66;6;1,91;20;6,36;48;15,28;2;0,63;0;0;44;14,01;6;1,91;4;1,27;34;10,82;11;3,5;10;3,18;0;0
3;20;1;1;U;483;264;219;263;1;1;21;7,95;4;1,51;3;1,13;0;0;0;0;0;0;44;16,66;2;0,75;0;0;187;70,83;0;0;1;0,37;0;0
3;22;1;1;U;546;404;142;392;4;12;25;6,18;4;0,99;24;5,94;12;2,97;0;0;0;0;76;18,81;0;0;1;0,24;241;59,65;0;0;5;1,23;0;0
3;24;1;1;U;114;48;66;48;0;0;2;4,16;0;0;0;0;0;0;1;2,08;0;0;13;27,08;0;0;0;0;29;60,41;0;0;3;6,25;0;0
3;25;1;1;A;338;222;116;221;7;1;63;28,37;6;2,7;15;6,75;9;4,05;2;0,9;0;0;54;24,32;3;1,35;0;0;36;16,21;9;4,05;14;6,3;3;1,35
3;25;1;1;B;417;287;130;286;6;1;67;23,34;4;1,39;2;0,69;10;3,48;1;0,34;0;0;89;31,01;5;1,74;1;0,34;93;32,4;3;1,04;4;1,39;1;0,34
3;27;1;1;U;824;575;249;571;2;4;41;7,13;1;0,17;8;1,39;4;0,69;2;0,34;2;0,34;145;25,21;1;0,17;0;0;354;61,56;0;0;6;1,04;5;0,86
3;31;1;1;U;237;169;68;166;6;3;20;11,83;1;0,59;8;4,73;1;0,59;0;0;1;0,59;32;18,93;9;5,32;0;0;86;50,88;0;0;1;0,59;1;0,59
3;37;1;1;U;93;71;22;70;0;1;3;4,22;1;1,4;2;2,81;1;1,4;0;0;1;1,4;19;26,76;0;0;0;0;40;56,33;3;4,22;0;0;0;0
3;40;1;1;U;199;174;25;174;13;0;51;29,31;4;2,29;6;3,44;14;8,04;0;0;1;0,57;39;22,41;1;0,57;0;0;33;18,96;2;1,14;8;4,59;2;1,14
3;44;1;1;U;276;222;54;218;2;4;28;12,61;0;0;10;4,5;4;1,8;0;0;0;0;55;24,77;2;0,9;0;0;116;52,25;0;0;1;0,45;0;0
3;49;1;1;U;739;471;268;469;2;2;75;15,92;3;0,63;12;2,54;9;1,91;0;0;1;0,21;90;19,1;3;0,63;0;0;265;56,26;1;0,21;8;1,69;0;0
3;50;1;1;A;395;284;111;280;0;4;72;25,35;1;0,35;7;2,46;7;2,46;0;0;0;0;41;14,43;5;1,76;0;0;141;49,64;0;0;6;2,11;0;0
3;50;1;1;B;491;366;125;365;8;1;135;36,88;0;0;9;2,45;22;6,01;0;0;1;0,27;55;15,02;2;0,54;0;0;123;33,6;0;0;9;2,45;1;0,27
3;50;1;1;C;379;277;102;275;4;2;76;27,43;1;0,36;7;2,52;7;2,52;0;0;0;0;54;19,49;1;0,36;0;0;115;41,51;0;0;10;3,61;0;0
3;50;2;1;A;553;390;163;385;14;5;143;36,66;2;0,51;15;3,84;20;5,12;1;0,25;2;0,51;77;19,74;2;0,51;0;0;93;23,84;4;1,02;12;3,07;0;0
3;50;2;1;B;467;335;132;329;5;6;105;31,34;1;0,29;12;3,58;13;3,88;0;0;0;0;79;23,58;2;0,59;1;0,29;100;29,85;2;0,59;9;2,68;0;0
3;50;2;1;C;568;403;165;396;4;7;146;36,31;4;0,99;16;3,98;14;3,48;1;0,24;2;0,49;83;20,64;4;0,99;0;0;105;26,11;7;1,74;9;2,23;1;0,24
3;50;2;2;A;543;384;159;382;5;2;135;35,15;2;0,52;12;3,12;20;5,2;1;0,26;0;0;81;21,09;2;0,52;0;0;112;29,16;3;0,78;8;2,08;1;0,26
