Codcir,Codmun,Municipio,Censo,Certif_Alta,Censo_Total,Votos_Totales,Votos_Nulos,Votos_Blancos,Abstención,Votos_Validos,Votos_Candidaturas,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,182,Nazar,39,0,39,32,0,0,7,32,32,2,3,5,2,15,1,0,1,0,3,0
31,88,Noáin (Valle de Elorz)/Noain (Elortzibar),5713,0,5713,3669,35,95,2044,3634,3539,189,463,435,214,1156,25,23,221,24,773,16
31,183,Obanos,705,0,705,501,8,10,204,493,483,29,91,64,31,170,6,4,30,3,55,0
31,185,Ochagavía/Otsagabia,454,0,454,399,5,19,55,394,375,17,92,110,4,110,0,0,8,1,33,0
31,184,Oco,57,0,57,46,2,1,11,44,43,0,4,19,2,18,0,0,0,0,0,0
31,186,Odieta,285,0,285,208,9,5,77,199,194,2,38,75,5,48,0,0,7,1,17,1
31,187,Oiz,110,0,110,58,2,0,52,56,56,0,22,18,4,3,0,0,2,0,6,1
31,188,Olaibar,330,0,330,195,8,4,135,187,183,15,22,54,5,45,2,2,8,4,26,0
31,189,Olazti/Olazagutía,1100,0,1100,616,5,17,484,611,594,22,139,258,16,42,0,0,22,3,91,1
31,190,Olejua,42,0,42,28,0,0,14,28,28,2,1,6,0,9,1,0,1,0,8,0
31,191,Olite/Erriberri,3036,0,3036,2080,45,41,956,2035,1994,171,262,183,94,607,9,7,113,9,537,2
31,192,Olóriz/Oloritz,176,0,176,138,2,4,38,136,132,4,9,30,3,36,0,0,23,4,21,2
31,195,Orbaizeta,166,0,166,108,0,1,58,108,107,0,27,60,1,9,0,0,3,0,7,0
31,196,Orbara,28,0,28,25,1,0,3,24,24,4,5,8,0,2,0,0,0,0,5,0
31,197,Orísoain,66,0,66,47,1,1,19,46,45,0,4,4,2,9,1,0,2,0,23,0
31,906,Orkoien,2770,0,2770,1863,29,45,907,1834,1789,152,231,325,90,447,8,9,120,5,399,3
31,198,Oronz/Orontze,41,0,41,34,0,0,7,34,34,0,8,19,0,3,0,0,2,0,2,0
31,199,Oroz-Betelu/Orotz-Betelu,131,0,131,94,0,2,37,94,92,4,32,29,0,16,1,0,3,0,7,0
31,211,Orreaga/Roncesvalles,16,0,16,13,1,2,3,12,10,3,1,0,1,5,0,0,0,0,0,0
31,200,Oteiza,735,0,735,528,13,29,207,515,486,20,68,131,6,110,1,1,24,1,124,0
31,201,Pamplona/Iruña,152534,17,152551,101769,934,1315,50782,100835,99520,7530,14656,17125,4133,29946,749,434,6337,276,18191,143
31,202,Peralta/Azkoien,4366,0,4366,3019,59,71,1347,2960,2889,221,169,154,135,1280,10,10,196,7,701,6
31,203,Petilla de Aragón,27,0,27,21,0,1,6,21,20,0,1,2,3,8,0,0,1,0,4,1
31,204,Piedramillera,39,0,39,35,0,2,4,35,33,5,3,7,1,12,0,0,2,0,3,0
31,205,Pitillas,424,0,424,314,9,7,110,305,298,24,18,33,9,78,2,0,17,2,113,2
