Codcir;Codmun;Municipio;Mesa;Censo;Certif_alta;Certif_correc;Censo total;Votos_electores;Votos_interventores;Votos_totales;Votos_nulos;Votos_blancos;Geroa Bai;UPN;PSN;EH Bildu;UPyD;I-E;PP;Podemos;Ciudadanos;LN;Equo;PACMA;SAIn;RCN-NOK
31;253;Bidaurreta;1-001 -U;121;0;0;121;114;0;114;0;1;33;8;8;44;0;3;0;16;0;0;0;1;0;0
31;56;Biurrun-Olcoz;1-001 -U;180;0;0;180;129;0;129;2;5;15;29;4;26;2;6;6;25;3;1;0;3;0;2
31;57;Buñuel;1-001 -A;400;0;0;400;278;0;278;6;3;13;139;70;1;0;3;11;19;7;0;3;1;0;2
31;57;Buñuel;1-001 -B;427;0;0;427;325;2;327;6;8;14;149;94;3;3;2;17;21;6;1;1;1;0;1
31;57;Buñuel;2-001 -A;488;0;0;488;375;0;375;10;13;11;179;102;3;1;6;6;29;9;5;0;1;0;0
31;57;Buñuel;2-001 -B;488;0;0;488;381;2;383;7;7;10;177;126;3;0;0;7;41;5;0;0;0;0;0
31;59;Burgui - Burgi;1-001 -U;192;0;0;192;136;0;136;1;3;18;28;24;45;0;3;1;10;1;2;0;0;0;0
31;60;Burlada - Burlata;1-001 -A;610;0;0;610;441;0;441;7;12;87;61;55;87;5;13;16;74;7;2;4;5;0;6
31;60;Burlada - Burlata;1-001 -B;688;0;0;688;488;0;488;5;10;92;85;48;97;1;27;16;80;11;1;3;5;0;7
31;60;Burlada - Burlata;1-001 -C;583;0;0;583;410;0;410;2;4;74;62;53;60;4;19;12;88;13;4;4;6;0;5
31;60;Burlada - Burlata;1-002 -A;498;0;0;498;320;0;320;6;3;58;76;23;45;1;16;17;57;10;1;3;3;0;1
31;60;Burlada - Burlata;1-002 -B;527;0;0;527;314;0;314;1;2;42;77;47;40;2;15;14;56;7;0;2;4;2;3
31;60;Burlada - Burlata;1-003 -A;477;0;0;477;306;0;306;2;3;52;61;49;35;1;19;8;58;8;2;3;4;0;1
31;60;Burlada - Burlata;1-003 -B;498;0;0;498;313;0;313;3;4;53;60;56;47;1;15;9;47;7;2;2;3;0;4
31;60;Burlada - Burlata;1-004 -A;557;0;0;557;343;0;343;2;4;46;91;50;50;1;12;12;58;11;1;3;1;1;0
31;60;Burlada - Burlata;1-004 -B;530;0;0;530;379;0;379;3;6;76;90;30;64;0;14;8;66;6;1;4;6;0;5
31;60;Burlada - Burlata;1-005 -A;661;0;0;661;501;0;501;7;7;101;88;55;103;2;17;11;85;7;4;7;4;1;2
31;60;Burlada - Burlata;1-005 -B;715;0;0;715;491;0;491;2;10;103;88;74;70;0;11;12;79;19;2;7;8;1;5
31;60;Burlada - Burlata;1-005 -C;594;0;0;594;416;0;416;4;9;80;61;53;65;1;20;14;76;10;0;6;7;1;9
31;60;Burlada - Burlata;2-001 -A;502;0;0;502;320;0;320;3;9;55;49;40;53;3;22;12;55;8;4;1;3;1;2
31;60;Burlada - Burlata;2-001 -B;531;0;0;531;336;0;336;8;4;49;73;40;67;0;10;22;46;5;1;3;4;1;3
31;60;Burlada - Burlata;2-002 -A;424;0;0;424;268;0;268;2;1;44;59;34;43;3;11;9;51;3;2;2;3;0;1
31;60;Burlada - Burlata;2-002 -B;428;0;0;428;266;0;266;1;8;42;51;37;28;1;7;7;67;4;1;4;4;0;4
