Codcir,Codmun,Municipio,Mesa,Censo,Certif_Alta,Certif_Correc,Censo_Total,Votos_Electores,Votos_Interventores,Votos_Totales,Votos_Nulos,Votos_Blancos,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,193,Cendea de Olza/Oltza Zendea,1-001-C,583,0,0,583,391,0,391,2,12,23,54,88,20,98,2,1,28,10,53,0
31,72,Cintruénigo,1-001-A,591,0,0,591,377,0,377,6,5,66,1,21,25,101,0,1,7,0,144,0
31,72,Cintruénigo,1-001-B,521,0,0,521,351,0,351,3,6,66,4,13,12,111,0,2,7,0,127,0
31,72,Cintruénigo,2-001-A,568,0,0,568,407,0,407,7,5,81,6,7,20,119,1,0,8,0,153,0
31,72,Cintruénigo,2-001-B,690,0,0,690,505,0,505,6,4,87,7,13,18,173,2,0,8,1,185,1
31,72,Cintruénigo,2-001-C,583,0,0,583,396,0,396,3,8,84,6,14,22,120,0,0,8,0,131,0
31,72,Cintruénigo,2-002-A,490,0,0,490,352,0,352,8,5,72,5,4,12,116,1,0,13,0,115,1
31,72,Cintruénigo,2-002-B,437,0,0,437,309,0,309,3,2,76,4,5,9,105,0,0,5,0,100,0
31,72,Cintruénigo,2-003-A,509,0,0,509,394,0,394,7,8,85,11,0,27,117,1,2,4,1,131,0
31,72,Cintruénigo,2-003-B,534,0,0,534,410,0,410,10,7,77,3,9,20,157,1,0,7,1,118,0
31,72,Cintruénigo,2-003-C,421,0,0,421,301,0,301,6,4,66,10,3,18,102,0,0,4,0,88,0
31,74,Cirauqui/Zirauki,1-001-U,379,0,0,379,272,0,272,0,6,8,42,107,3,48,4,0,14,2,38,0
31,75,Ciriza/Ziritza,1-001-U,118,0,0,118,80,0,80,1,1,5,14,11,9,17,1,0,10,3,7,1
31,76,Cizur,1-001-A,331,0,0,331,238,0,238,4,7,16,29,49,4,77,0,2,12,3,34,1
31,76,Cizur,1-001-B,289,0,0,289,194,0,194,1,2,14,31,42,9,60,3,0,6,3,23,0
31,76,Cizur,1-001-C,431,0,0,431,280,0,280,3,10,33,30,27,23,117,1,1,5,1,29,0
31,76,Cizur,1-002-A,528,0,0,528,410,0,410,1,5,21,25,19,61,202,4,1,5,0,66,0
31,76,Cizur,1-002-B,576,0,0,576,403,0,403,1,5,67,34,16,52,187,3,1,4,0,33,0
31,76,Cizur,1-002-C,525,0,0,525,439,0,439,4,10,65,36,14,50,211,0,1,9,1,37,1
31,77,Corella,1-001-A,647,0,0,647,457,0,457,7,7,44,11,19,34,189,0,1,12,0,132,1
31,77,Corella,1-001-B,672,0,0,672,493,0,493,14,9,65,10,16,33,184,5,1,27,0,127,2
31,77,Corella,1-002-A,585,0,0,585,433,0,433,8,10,48,11,17,25,171,0,1,16,1,125,0
31,77,Corella,1-002-B,541,0,0,541,417,0,417,8,14,35,14,12,24,184,0,2,13,0,111,0
31,77,Corella,1-002-C,796,0,0,796,552,0,552,5,12,36,21,6,32,241,1,5,30,1,162,0
31,77,Corella,2-001-U,742,0,0,742,495,0,495,9,3,43,19,15,40,175,2,2,31,0,155,1
31,77,Corella,2-002-A,760,0,0,760,522,0,522,13,11,53,19,15,37,229,0,2,25,0,117,1
31,77,Corella,2-002-B,771,0,0,771,533,0,533,17,9,49,12,9,38,236,0,5,23,0,133,2
31,78,Cortes,1-001-A,418,0,0,418,303,2,305,12,11,16,14,14,15,114,0,0,18,0,91,0
31,78,Cortes,1-001-B,417,0,0,417,320,1,321,10,9,22,15,14,5,129,1,1,14,0,101,0
31,78,Cortes,2-001-A,487,0,0,487,359,1,360,5,12,13,12,22,15,151,0,1,12,0,117,0
31,78,Cortes,2-001-B,515,0,0,515,392,2,394,11,11,29,18,11,23,148,0,3,24,0,115,1
31,78,Cortes,2-001-C,497,0,0,497,383,1,384,13,16,14,14,30,21,117,0,0,15,1,143,0
31,79,Desojo,1-001-U,59,0,0,59,44,0,44,0,1,2,3,2,0,13,1,0,1,2,18,1
31,80,Dicastillo,1-001-U,463,0,0,463,329,0,329,3,6,13,42,69,4,84,2,0,21,0,85,0
31,81,Donamaria,1-001-U,362,0,0,362,246,0,246,4,7,13,71,112,0,20,1,0,3,2,13,0
31,221,Doneztebe/Santesteban,1-001-A,621,0,0,621,435,0,435,12,6,13,107,166,10,67,1,0,8,0,45,0
31,221,Doneztebe/Santesteban,1-001-B,675,0,0,675,436,0,436,8,11,22,100,161,7,62,0,0,14,2,49,0
31,83,Echarri/Etxarri,1-001-U,55,0,0,55,44,0,44,3,2,1,7,14,2,9,3,0,0,3,0,0
31,61,El Busto,1-001-U,44,0,0,44,37,0,37,0,2,1,1,2,0,23,0,0,1,2,5,0
31,87,Elgorriaga,1-001-U,167,0,0,167,113,0,113,3,5,1,33,51,0,12,0,0,0,0,7,1
31,89,Enériz/Eneritz,1-001-U,251,0,0,251,178,0,178,2,4,14,22,23,16,55,1,2,7,4,28,0
31,90,Eratsun,1-001-U,135,0,0,135,68,0,68,1,0,2,37,12,2,6,0,0,0,0,8,0
31,91,Ergoiena,1-001-U,321,0,0,321,214,0,214,0,4,5,62,111,1,12,0,0,3,1,15,0
31,92,Erro,1-001-A,275,0,0,275,209,0,209,3,3,8,45,49,3,52,3,0,6,0,37,0
31,92,Erro,1-001-B,412,0,0,412,313,0,313,4,7,6,87,116,4,45,1,0,11,1,31,0
31,94,Eslava,1-001-U,93,0,0,93,62,0,62,2,1,2,8,5,0,26,0,0,1,0,16,1
31,95,Esparza de Salazar/Espartza Zaraitzu,1-001-U,70,0,0,70,64,0,64,1,2,2,10,30,0,3,1,0,2,0,13,0
31,96,Espronceda,1-001-U,100,0,0,100,89,0,89,0,1,12,5,24,2,22,1,0,2,1,18,1
31,97,Estella-Lizarra,1-001-U,764,0,0,764,438,0,438,8,6,23,58,93,8,149,0,2,29,1,61,0
31,97,Estella-Lizarra,1-002-A,682,0,0,682,376,0,376,5,8,37,44,69,11,110,1,2,30,1,58,0
