Codcir,Codmun,Municipio,Censo,Certif_alta,Censo total,Votos_totales,Votos_nulos,Votos_blancos,Abstención,Votos_Válidos,Votos Candidaturas,Geroa Bai,UPN,PSN,EH Bildu,UPyD,I-E,PP,Podemos,Ciudadanos,LN,Equo,PACMA,SAIn,RCN-NOK
31,175,Mues,74,0,74,49,0,1,25,49,48,10,19,4,4,0,5,2,3,0,0,0,1,0,0
31,176,Murchante,2861,0,2861,1995,66,76,866,1929,1853,84,513,624,45,16,70,131,265,59,4,6,22,3,11
31,177,Murieta,267,0,267,147,2,6,120,145,139,22,39,17,16,0,5,12,16,4,0,5,2,0,1
31,178,Murillo el Cuende,495,0,495,389,1,10,106,388,378,21,115,154,9,0,6,13,51,5,1,0,2,0,1
31,179,Murillo el Fruto,529,0,529,437,4,14,92,433,419,24,166,103,28,0,5,18,58,8,3,0,3,0,3
31,180,Muruzábal,223,0,223,149,2,2,74,147,145,19,51,10,13,3,2,13,19,11,0,4,0,0,0
31,181,Navascués - Nabaskoze,152,0,152,115,0,2,37,115,113,13,33,14,40,1,1,2,6,0,1,0,2,0,0
31,182,Nazar,39,0,39,31,0,1,8,31,30,6,9,1,5,0,4,0,4,1,0,0,0,0,0
31,88,Noáin (Valle de Elorz) - Noain (Elortzibar),5544,0,5544,3831,41,60,1713,3790,3730,583,1017,358,400,30,145,131,749,178,12,33,46,9,39
31,183,Obanos,674,0,674,540,6,14,134,534,520,108,172,32,67,3,11,25,69,17,2,3,9,1,1
31,185,Ochagavía - Otsagabia,509,0,509,438,5,9,71,433,424,93,155,15,107,1,8,13,16,12,4,0,0,0,0
31,184,Oco,58,0,58,45,0,4,13,45,41,8,18,0,12,0,0,0,2,1,0,0,0,0,0
31,186,Odieta,300,0,300,222,4,12,78,218,206,45,33,8,76,3,7,5,21,4,1,2,0,0,1
31,187,Oiz,111,0,111,74,0,0,37,74,74,23,9,2,25,0,1,0,9,4,1,0,0,0,0
31,188,Olaibar,228,0,228,164,3,1,64,161,160,28,32,9,34,1,2,5,29,7,0,1,7,1,4
31,189,Olazti - Olazagutía,1178,0,1178,778,17,12,400,761,749,164,128,85,248,1,14,20,74,7,1,4,3,0,0
31,190,Olejua,45,0,45,37,0,1,8,37,36,10,10,6,8,0,0,1,1,0,0,0,0,0,0
31,191,Olite - Erriberri,3019,0,3019,2225,47,54,794,2178,2124,309,618,367,139,17,63,119,373,67,7,11,13,3,18
31,194,Ollo,320,0,320,238,4,9,82,234,225,56,45,14,65,0,6,7,28,2,0,0,0,0,2
31,192,Olóriz - Oloritz,155,0,155,130,0,2,25,130,128,15,33,5,16,2,6,1,47,1,0,0,1,0,1
31,195,Orbaizeta,182,0,182,129,1,0,53,128,128,23,23,7,55,0,1,4,12,1,1,0,0,0,1
31,196,Orbara,40,0,40,31,0,0,9,31,31,5,3,4,10,0,2,4,3,0,0,0,0,0,0
31,197,Orísoain,71,0,71,54,0,1,17,54,53,8,17,6,9,0,2,0,8,3,0,0,0,0,0
31,906,Orkoien,2580,0,2580,1902,32,33,678,1870,1837,317,436,199,274,11,82,60,332,67,7,11,20,5,16
31,198,Oronz - Orontze,36,0,36,30,0,0,6,30,30,2,4,2,15,0,1,0,5,0,0,0,0,0,1
31,199,Oroz-Betelu - Orotz-Betelu,149,0,149,86,1,1,63,85,84,22,23,2,25,0,1,5,3,0,0,1,2,0,0
31,211,Orreaga - Roncesvalles,25,0,25,19,1,0,6,18,18,3,12,2,0,0,0,0,0,1,0,0,0,0,0
