ELECCIONES AL PARLAMENTO DE NAVARRA POR MESAS 1999;;;;;;;;;;;;;;;;;;;

CÓDIGO;MUNICIPIO;DISTRITO;SECCIÓN;MESA;CENSO_ELECTORAL;ABSTENCIONES;V.EMITIDOS;NULOS;V.VÁLIDOS;BLANCOS;A_CAND.;UPN;PSN-PSOE;CDN;IU-EB;EH;EA-EAJ_PNV;EKA;IN
18;AÑORBE;1;1;U;390;68;322;2;320;8;312;152;69;46;19;20;3;0;3
19;AOIZ / AGOITZ;1;1;U;631;117;514;9;505;29;476;190;48;18;33;153;32;1;1
19;AOIZ / AGOITZ;2;1;U;927;180;747;7;740;17;723;238;95;46;37;253;48;2;4
20;ARAITZ;1;1;U;552;187;365;9;356;8;348;90;1;19;5;189;42;0;2
21;ARANARACHE;1;1;U;89;31;58;0;58;3;55;32;12;0;1;9;1;0;0
22;ARANTZA;1;1;U;611;122;489;5;484;12;472;53;10;11;8;276;114;0;0
23;ARANGUREN;1;1;A;735;194;541;3;538;15;523;174;132;46;67;78;20;0;6
23;ARANGUREN;1;1;B;725;209;516;6;510;21;489;177;94;38;56;103;17;0;4
23;ARANGUREN;1;2;A;846;220;626;8;618;23;595;300;61;72;48;68;42;2;2
23;ARANGUREN;1;2;B;258;69;189;0;189;7;182;76;8;18;10;63;6;0;1
24;ARANO;1;1;U;142;63;79;0;79;2;77;10;3;6;0;39;17;2;0
25;ARAKIL;1;1;A;323;86;237;3;234;10;224;118;15;17;23;41;7;2;1
25;ARAKIL;1;1;B;418;170;248;1;247;3;244;91;24;23;16;69;20;0;1
26;ARAS;1;1;U;217;66;151;3;148;0;148;71;36;21;10;9;0;1;0
27;ARBIZU;1;1;U;745;109;636;3;633;5;628;82;4;16;13;317;194;1;1
28;ARCE / ARTZI;1;1;U;264;78;186;3;183;5;178;54;12;27;16;64;4;0;1
29;ARCOS (LOS);1;1;A;638;157;481;8;473;7;466;275;85;23;22;38;5;1;17
29;ARCOS (LOS);1;1;B;527;133;394;7;387;7;380;227;63;14;21;28;3;4;20
30;ARELLANO;1;1;U;182;66;116;0;116;4;112;41;23;8;9;23;5;1;2
31;ARESO;1;1;U;256;24;232;4;228;5;223;36;6;67;1;88;25;0;0
32;ARGUEDAS;1;1;A;622;127;495;0;495;11;484;267;174;9;15;15;1;1;2
32;ARGUEDAS;1;1;B;691;132;559;3;556;12;544;329;168;10;9;18;6;1;3
32;ARGUEDAS;2;1;U;573;120;453;5;448;6;442;254;130;27;18;8;2;0;3
33;ARIA;1;1;U;57;27;30;0;30;1;29;12;1;4;3;7;2;0;0
34;ARIBE;1;1;U;56;20;36;0;36;2;34;15;0;1;3;10;5;0;0
35;ARMAÑANZAS;1;1;U;93;27;66;2;64;1;63;30;20;1;3;4;3;1;1
36;ARRONIZ;1;1;A;565;185;380;4;376;8;368;161;90;13;33;55;16;0;0
36;ARRONIZ;1;1;B;459;127;332;7;325;10;315;134;75;13;32;51;8;0;2
37;ARRUAZU;1;1;U;95;26;69;0;69;0;69;18;1;2;2;17;28;0;1
38;ARTAJONA;1;1;A;713;180;533;8;525;16;509;270;128;45;19;29;11;3;4
38;ARTAJONA;1;1;B;703;160;543;3;540;22;518;211;131;59;29;61;16;4;7
39;ARTAZU;1;1;U;87;33;54;2;52;2;50;26;4;5;3;9;2;0;1
40;ATEZ;1;1;U;196;44;152;1;151;1;150;64;16;20;11;24;14;0;1
41;AYEGUI;1;1;U;768;227;541;0;541;18;523;229;77;34;46;73;50;8;6
42;AZAGRA;1;1;A;652;119;533;10;523;12;511;268;205;9;10;4;1;0;14
42;AZAGRA;1;1;B;762;122;640;15;625;6;619;342;240;12;16;4;3;0;2
42;AZAGRA;2;1;A;461;85;376;7;369;7;362;141;196;5;15;3;1;1;0
42;AZAGRA;2;1;B;478;89;389;8;381;13;368;149;197;4;11;0;0;1;6
42;AZAGRA;2;1;C;486;107;379;4;375;9;366;124;217;2;16;2;2;0;3
