Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-014-2-0002-A;AVILA;014;ARENAS DE SAN PEDRO;2;0002;A;644;295;411;478;8;3;PP;211
05-014-2-0002-A;AVILA;014;ARENAS DE SAN PEDRO;2;0002;A;644;295;411;478;8;3;PSOE;136
05-014-2-0002-A;AVILA;014;ARENAS DE SAN PEDRO;2;0002;A;644;295;411;478;8;3;CDS;92
05-014-2-0002-A;AVILA;014;ARENAS DE SAN PEDRO;2;0002;A;644;295;411;478;8;3;IU;27
05-014-2-0002-A;AVILA;014;ARENAS DE SAN PEDRO;2;0002;A;644;295;411;478;8;3;LV;1
05-014-2-0002-A;AVILA;014;ARENAS DE SAN PEDRO;2;0002;A;644;295;411;478;8;3;FE-JONS;0
05-014-2-0002-B;AVILA;014;ARENAS DE SAN PEDRO;2;0002;B;698;312;417;501;2;3;PP;241
05-014-2-0002-B;AVILA;014;ARENAS DE SAN PEDRO;2;0002;B;698;312;417;501;2;3;PSOE;148
05-014-2-0002-B;AVILA;014;ARENAS DE SAN PEDRO;2;0002;B;698;312;417;501;2;3;CDS;68
05-014-2-0002-B;AVILA;014;ARENAS DE SAN PEDRO;2;0002;B;698;312;417;501;2;3;IU;35
05-014-2-0002-B;AVILA;014;ARENAS DE SAN PEDRO;2;0002;B;698;312;417;501;2;3;LV;3
05-014-2-0002-B;AVILA;014;ARENAS DE SAN PEDRO;2;0002;B;698;312;417;501;2;3;FE-JONS;1
05-015-1-0001-A;AVILA;015;AREVALILLO;1;0001;A;186;109;114;119;0;0;PSOE;74
05-015-1-0001-A;AVILA;015;AREVALILLO;1;0001;A;186;109;114;119;0;0;PP;24
05-015-1-0001-A;AVILA;015;AREVALILLO;1;0001;A;186;109;114;119;0;0;CDS;21
05-015-1-0001-A;AVILA;015;AREVALILLO;1;0001;A;186;109;114;119;0;0;FE-JONS;0
05-015-1-0001-A;AVILA;015;AREVALILLO;1;0001;A;186;109;114;119;0;0;LV;0
05-015-1-0001-A;AVILA;015;AREVALILLO;1;0001;A;186;109;114;119;0;0;IU;0
05-016-1-0001-A;AVILA;016;ARÉVALO;1;0001;A;536;296;371;432;3;5;PSOE;271
05-016-1-0001-A;AVILA;016;ARÉVALO;1;0001;A;536;296;371;432;3;5;PP;103
05-016-1-0001-A;AVILA;016;ARÉVALO;1;0001;A;536;296;371;432;3;5;CDS;44
05-016-1-0001-A;AVILA;016;ARÉVALO;1;0001;A;536;296;371;432;3;5;IU;5
05-016-1-0001-A;AVILA;016;ARÉVALO;1;0001;A;536;296;371;432;3;5;LV;1
05-016-1-0001-A;AVILA;016;ARÉVALO;1;0001;A;536;296;371;432;3;5;FE-JONS;0
05-016-2-0001-A;AVILA;016;ARÉVALO;2;0001;A;771;277;432;580;13;7;PSOE;243
05-016-2-0001-A;AVILA;016;ARÉVALO;2;0001;A;771;277;432;580;13;7;PP;230
05-016-2-0001-A;AVILA;016;ARÉVALO;2;0001;A;771;277;432;580;13;7;CDS;73
05-016-2-0001-A;AVILA;016;ARÉVALO;2;0001;A;771;277;432;580;13;7;LV;8
05-016-2-0001-A;AVILA;016;ARÉVALO;2;0001;A;771;277;432;580;13;7;IU;5
05-016-2-0001-A;AVILA;016;ARÉVALO;2;0001;A;771;277;432;580;13;7;FE-JONS;1
05-016-2-0001-B;AVILA;016;ARÉVALO;2;0001;B;680;243;359;511;5;10;PP;215
05-016-2-0001-B;AVILA;016;ARÉVALO;2;0001;B;680;243;359;511;5;10;PSOE;208
05-016-2-0001-B;AVILA;016;ARÉVALO;2;0001;B;680;243;359;511;5;10;CDS;56
05-016-2-0001-B;AVILA;016;ARÉVALO;2;0001;B;680;243;359;511;5;10;IU;14
05-016-2-0001-B;AVILA;016;ARÉVALO;2;0001;B;680;243;359;511;5;10;LV;3
05-016-2-0001-B;AVILA;016;ARÉVALO;2;0001;B;680;243;359;511;5;10;FE-JONS;0
05-016-1-0002-A;AVILA;016;ARÉVALO;1;0002;A;541;265;352;428;4;9;PSOE;200
05-016-1-0002-A;AVILA;016;ARÉVALO;1;0002;A;541;265;352;428;4;9;PP;164
05-016-1-0002-A;AVILA;016;ARÉVALO;1;0002;A;541;265;352;428;4;9;CDS;44
05-016-1-0002-A;AVILA;016;ARÉVALO;1;0002;A;541;265;352;428;4;9;IU;5
05-016-1-0002-A;AVILA;016;ARÉVALO;1;0002;A;541;265;352;428;4;9;LV;2
05-016-1-0002-A;AVILA;016;ARÉVALO;1;0002;A;541;265;352;428;4;9;FE-JONS;0
05-016-2-0002-A;AVILA;016;ARÉVALO;2;0002;A;683;257;390;534;6;4;PSOE;244
05-016-2-0002-A;AVILA;016;ARÉVALO;2;0002;A;683;257;390;534;6;4;PP;202
05-016-2-0002-A;AVILA;016;ARÉVALO;2;0002;A;683;257;390;534;6;4;CDS;54
05-016-2-0002-A;AVILA;016;ARÉVALO;2;0002;A;683;257;390;534;6;4;IU;14
05-016-2-0002-A;AVILA;016;ARÉVALO;2;0002;A;683;257;390;534;6;4;LV;10
05-016-2-0002-A;AVILA;016;ARÉVALO;2;0002;A;683;257;390;534;6;4;FE-JONS;0
05-016-2-0002-B;AVILA;016;ARÉVALO;2;0002;B;712;250;375;531;0;4;PSOE;257
05-016-2-0002-B;AVILA;016;ARÉVALO;2;0002;B;712;250;375;531;0;4;PP;214
05-016-2-0002-B;AVILA;016;ARÉVALO;2;0002;B;712;250;375;531;0;4;CDS;45
05-016-2-0002-B;AVILA;016;ARÉVALO;2;0002;B;712;250;375;531;0;4;IU;10
05-016-2-0002-B;AVILA;016;ARÉVALO;2;0002;B;712;250;375;531;0;4;LV;1
05-016-2-0002-B;AVILA;016;ARÉVALO;2;0002;B;712;250;375;531;0;4;FE-JONS;0
05-016-2-0003-A;AVILA;016;ARÉVALO;2;0003;A;738;258;372;523;11;10;PP;232
05-016-2-0003-A;AVILA;016;ARÉVALO;2;0003;A;738;258;372;523;11;10;PSOE;188
05-016-2-0003-A;AVILA;016;ARÉVALO;2;0003;A;738;258;372;523;11;10;CDS;62
05-016-2-0003-A;AVILA;016;ARÉVALO;2;0003;A;738;258;372;523;11;10;IU;13
05-016-2-0003-A;AVILA;016;ARÉVALO;2;0003;A;738;258;372;523;11;10;LV;7
05-016-2-0003-A;AVILA;016;ARÉVALO;2;0003;A;738;258;372;523;11;10;FE-JONS;0
05-016-2-0003-B;AVILA;016;ARÉVALO;2;0003;B;679;221;369;480;5;6;PP;245
05-016-2-0003-B;AVILA;016;ARÉVALO;2;0003;B;679;221;369;480;5;6;PSOE;139
05-016-2-0003-B;AVILA;016;ARÉVALO;2;0003;B;679;221;369;480;5;6;CDS;69
05-016-2-0003-B;AVILA;016;ARÉVALO;2;0003;B;679;221;369;480;5;6;IU;9
05-016-2-0003-B;AVILA;016;ARÉVALO;2;0003;B;679;221;369;480;5;6;LV;6
05-016-2-0003-B;AVILA;016;ARÉVALO;2;0003;B;679;221;369;480;5;6;FE-JONS;1
05-017-1-0001-A;AVILA;017;AVEINTE;1;0001;A;142;68;95;107;6;0;PP;50
05-017-1-0001-A;AVILA;017;AVEINTE;1;0001;A;142;68;95;107;6;0;PSOE;38
05-017-1-0001-A;AVILA;017;AVEINTE;1;0001;A;142;68;95;107;6;0;CDS;11
05-017-1-0001-A;AVILA;017;AVEINTE;1;0001;A;142;68;95;107;6;0;IU;1
05-017-1-0001-A;AVILA;017;AVEINTE;1;0001;A;142;68;95;107;6;0;LV;1
05-017-1-0001-A;AVILA;017;AVEINTE;1;0001;A;142;68;95;107;6;0;FE-JONS;0
05-018-1-0001-A;AVILA;018;AVELLANEDA;1;0001;A;60;31;36;41;9;0;CDS;27
05-018-1-0001-A;AVILA;018;AVELLANEDA;1;0001;A;60;31;36;41;9;0;PP;5
05-018-1-0001-A;AVILA;018;AVELLANEDA;1;0001;A;60;31;36;41;9;0;LV;0
05-018-1-0001-A;AVILA;018;AVELLANEDA;1;0001;A;60;31;36;41;9;0;FE-JONS;0
05-018-1-0001-A;AVILA;018;AVELLANEDA;1;0001;A;60;31;36;41;9;0;PSOE;0
05-018-1-0001-A;AVILA;018;AVELLANEDA;1;0001;A;60;31;36;41;9;0;IU;0
05-019-1-0001-A;AVILA;019;AVILA;1;0001;A;443;163;211;278;2;11;PP;149
05-019-1-0001-A;AVILA;019;AVILA;1;0001;A;443;163;211;278;2;11;CDS;59
05-019-1-0001-A;AVILA;019;AVILA;1;0001;A;443;163;211;278;2;11;PSOE;33
05-019-1-0001-A;AVILA;019;AVILA;1;0001;A;443;163;211;278;2;11;IU;13
05-019-1-0001-A;AVILA;019;AVILA;1;0001;A;443;163;211;278;2;11;LV;11
05-019-1-0001-A;AVILA;019;AVILA;1;0001;A;443;163;211;278;2;11;FE-JONS;0
05-019-2-0001-A;AVILA;019;AVILA;2;0001;A;1386;500;747;938;3;18;PP;624
05-019-2-0001-A;AVILA;019;AVILA;2;0001;A;1386;500;747;938;3;18;CDS;145
